nr;datum;Nederlands;Grieks;woordsoort;nota;thema
0121;;Wat wil je doen?;Τι θέλεις να κάνεις;;zin;vraagzin;converseren
0122;;Ik wil dat je dat doet!;Θέλω να κάνεις!;zin;;converseren, uitdrukkingen
0123;;hoe;πως;bijw.;bw. zonder accent;converseren
0124;;Hoe?;Πώς;;vraagw.;vraagw. met accent;converseren
0125;;Wat is uw naam?;Πως σας λένε;zin;vraagzin;converseren
0126;;Waar komt u vandaan?;Από πού είσαστε;;zin;vraagzin;converseren
0127;;(al)waar;που;bijw.;bw. zonder accent;converseren
0128;;Waar?;Πού;;vraagw.;vraagw. met accent;converseren
0129;;Bent u getrouwd of vrijgezel?;Είστε παντρεμένος -η ή ελεύθερος -η;;zin;vraagzin;relaties, converseren
0130;;Hoeveel verdien je?;Πόσα βγάζεις;;zin;vraagzin;hoeveelheden, meten
0131;;Graag gedaan!;(Δεν) Τίποτα!， Παρακαλώ!;uitdr.;cfr Fr. ‘De rien!’;converseren, uitdrukkingen
0132;;Geeft niets!， Kleine moeite!;(Να) κάνει τίποτα!;uitdr.;;converseren, uitdrukkingen
0133;;Ik vind Arianna echt leuk.;Μου αρέσει πολύ η Αριάννα.;zin;;emoties, behoeftes
0134;;Ik hou van Grieks.;Μου αρέσουν τα ελληνικά.;zin;;emoties, behoeftes
0135;;Ik hou van Griekse vrouwen.;Μ’αρέσουν οι Ελληνίδες.;zin;;emoties, behoeftes
0136;;luchthartig， opgewekt;εύθυμος -η -ο;bnw.;;emoties, behoeftes
0137;;okee， in orde;εντάξει;uitdr.;;converseren, uitdrukkingen
0138;;maan;(το) φεγγάρι;znw.;;natuur
;;;(ο) χορός;;;
0139;;Bravo!;Μπράβο!;uitdr.;;converseren, uitdrukkingen
0140;;kroezelig (kroeshaar);σγουρός -ή -ό;bnw.;;kleuren & vormen, dingen
0141;;Klaar!， Dat is het!;Αυτά!;vnw.;uitdr.;converseren, uitdrukkingen
0142;;Erg leuk!;Πολύ ωραίο!;uitdr.;;emoties, behoeftes
0143;;bus;(το) λεωφορείο;znw.;;reizen, routines
0144;;nul;μηδέν;telw.;;hoeveelheden, meten
;;;ένας / μία / ένα;;;
0145;2025-03-25;kaas;(το) τυρί - (τα) τυριά;znw.;;voedsel, dingen
;;;(η) πατάτα;;;
0146;2025-03-25;kaastaart;(η) τυρόπιτα - (οι) τυρόπιτες;znw.;;voedsel, dingen
;;;(ο) χυμός πορτοκάλι;;;
0147;;groententaart， wilde groentenpastei;(η) χορτόπιτα - (οι) χορτόπιτες;znw.;;voedsel, dingen
0148;;universiteit;(το) πανεπιστήμιο - (τα) πανεπιστήμια;znw.;;beroepen, maatschappij
0149;;wijn;(το) κρασί;znw.;;voedsel, dingen
0150;2025-02-25;wit;¹άσπρος -η -ο ²λευκός -ή -ό;bnw.;;kleuren & vormen, dingen
0151;;melk;(το) γάλα;znw.;;voedsel, dingen
;;;(η) πίτσα;;;
0152;;woud;(το) δάσος;znw.;;natuur
0153;;idee;(η) ιδέα;znw.;;filosofie, cultuur
0154;;geschiedenis;(η) ιστορία;znw.;;beroepen, maatschappij
0155;2025-02-18, 2025-03-11;groot;μεγάλος -η -ο;bnw.;;kleuren & vormen, dingen
0156;2025-05-06;gisteren;χθες;bijw.;;kalender, meten
0157;2025-04-01, 2025-04-22;vis;(το) ψάρι - (τα) ψάρια;znw.;;voedsel, dingen
0158;2025-03-25;tzatziki;(το) τζατζίκι;znw.;;voedsel, dingen
0159;;vreugde;(η) χαρά;znw.;;emoties, behoeftes
0160;;bouzouki;(το) μπουζούκι;znw.;;muziek, cultuur
0161;2025-04-01;retsina;(η) ρετσίνα;znw.;witte harswijn;voedsel, dingen
;;;πρώτα (π.χ. Πρώτα θα πάω στο φούρνο.);;;
;;;(ο) ναός;;;
0162;2025-02-04;klok， horloge;(το) ρολόι;znw.;;dingen
0163;2025-03-25;moussaka;(ο) μουσακάς - (οι) μουσακάδες;znw.;;voedsel, dingen
0164;;ouzo;(το) ούζο;znw.;;voedsel, dingen
0165;;chocolaatjes;(τα) σοκολατάκια;znw.;meervoud;voedsel, dingen
0166;;grootmoeder met bril;η γιαγιά με γυαλιά;znw. groep;;relaties, converseren
0167;2025-02-18;opnieuw;πάλι;bijw.;;converseren
0168;2025-03-25;¹zetten， plaatsen ²leggen ³(kleren) aandoen;βάζω;ww.;;grammatica
0169;;schrijven;γράφω - γράφεις, γράφει, γράφουμε, γράφετε, γράφουν;ww.;;beroepen, maatschappij
0170;;oude man;(ο) γέρος;znw. groep;;relaties, converseren
0171;;Kom!;Έλα!;ww.;imp.;converseren, uitdrukkingen
0172;;suiker;(η) ζάχαρη;znw.;;voedsel, dingen
0173;;appel;(το) μήλο;znw.;;voedsel, dingen
0174;;willen;θέλω - θέλεις, θέλει, θέλουμε, θέλετε, θέλουν;ww.;;converseren
0175;2025-02-18, 2025-03-11;klein;μικρός -ή -ό;bnw.;;kleuren & vormen, dingen
0176;;honderd;εκατό;telw.;;hoeveelheden, meten
;;;διακόσια;;;
;;;τριακόσια;;;
;;;τετρακόσια;;;
;;;πεντακόσια;;;
;;;εξακόσια;;;
;;;επτακόσια;;;
;;;οκτακόσια;;;
;;;εννιακόσια;;;
;;;χίλια;;;
;;;δύο χιλιάδες;;;
;;;τρεις χιλιάδες;;;
;;;τέσσερις χιλιάδες;;;
;;;πέντε χιλιάδες;;;
;;;έξι χιλιάδες;;;
;;;επτά χιλιάδες;;;
;;;οκτώ χιλιάδες;;;
;;;εννέα χιλιάδες;;;
;;;δέκα χιλιάδες;;;
0177;;woord;(η) λέξη - (οι) λέξεις;znw.;;converseren
0178;2025-04-29;baby;(το) μωρό - (τα) μωρά;znw.;;relaties, converseren
0179;2025-03-25;water;(το) νερό - (τα) νερά;znw.;;voedsel, dingen
0180;;buitenlands;ξένος -η -ο;bnw.;;geografie, cultuur
0181;;deur;(η) πόρτα;znw.;;dingen
0182;;radio;(το) ράδιο， (το) ραδιόφωνο;znw.;;dingen
0183;;ernstig (bw.);σοβαρά;bijw.;;emoties, behoeftes
;;;Ακόμα;;;
0184;;ernstig (bnw.);σοβαρός -ή -ό;bnw.;;emoties, behoeftes
0185;;¹uitzetten ²blussen， uitdoen， doven ³(uit)vegen， wissen ⁴afzetten;σβήνω;ww.;;grammatica
0186;;nu;τώρα;bijw.;;kalender, meten
0187;2025-02-11, 2025-03-11;nacht;(η) νύχτα - (οι) νύχτες;znw.;;kalender, meten
0188;;kleur;(το) χρώμα;znw.;;kleuren & vormen, dingen
0189;;leugen;(το) ψέμα;znw.;;emoties, behoeftes
0190;;tijd;(η) ώρα;znw.;;kalender, meten
0191;;tweeklanken;(τα) δίψηφα φωνήεντα;znw.;;grammatica
0192;;digrafen;(τα) δίψηφα σύμφωνα;znw.;;grammatica
0193;;combinaties;(οι) συνδυασμοί;znw.;;grammatica
0194;;stemhebbende medeklinkers;(τα) σύμφωνα ηχαρά;znw.;;grammatica
0195;;stemloze medeklinkers;(τα) σύμφωνα άηχα;znw.;;grammatica
0196;;klinker;(το) φωνήεν;znw. groep;;grammatica
0197;;stemloze medeklinker;(το) άηχο σύμφωνο;znw. groep;;grammatica
0198;;uitspraak;(η) προφορά;znw.;;grammatica
0199;;interpunctie;(η) στίξη;znw.;;grammatica
0200;;punt (.);(η) τελεία;znw.;;grammatica
0201;;puntkomma;(η) άνω τελεία;znw.;;grammatica
0202;;komma (,);(το) κόμμα;znw.;;grammatica
0203;;vraagteken (?);(το) ερωτηματικό (;);znw.;;grammatica
0204;;uitroepteken (!);(το) θαυμαστικό (!);znw.;;grammatica
0205;;dubbele punt (:);(η) διπλή τελεία (:);znw. groep;;grammatica
0206;;haakje ( );(η) παρένθεση;znw.;;grammatica
0207;;aanhalingstekens (« »);(τα) εισαγωγικά;znw.;;grammatica
0208;;streepje (—);(η) παύλα;znw.;;grammatica
0209;;ellipsis (…);(τα) αποσιωπητικά;znw.;;grammatica
0210;;onzijdig;ουδέτερος -η -ο;bnw.;;grammatica
0211;;hemel;(ο) ουρανός;znw.;;natuur
0212;;berg;(το) βουνό;znw.;;natuur
0213;;bloem;(το) λουλούδι;znw.;;natuur
0214;;muze;(η) μούσα;znw.;;muziek, cultuur
0215;;en;και;vw.;;converseren
0216;;kamer;(η) αίθουσα;znw.;;dingen
0217;2025-04-01;¹het weer ²de tijd;ο καιρός;znw.;cfr fr. ‘le temps’;natuur
;;;(η) ασπιρίνη;;;
0218;2025-02-25, 2025-04-22;nemen;παίρνω - παίρνεις, παίρνει, παίρνουμε, παίρνετε, παίρνουν;ww.;;converseren
0219;2025-02-18;uitgaan， naar buiten gaan;βγαίνω;ww.;;converseren
0220;;ik ben;(εγώ) είμαι;ww.;1e ev.;filosofie, cultuur
0221;;zijn;είμαι - είσαι, είναι, είμαστε, είσαστε, είναι;ww.;;grammatica
0222;2025-02-25;¹afbeelding， beeld ²icoon;(η) εικόνα - (οι) εικόνες;znw.;;dingen
0223;;vrede;(η) ειρήνη;znw.;;emoties, behoeftes
0224;;¹tonen， laten zien ²aanwijzen;δείχνω;ww.;;converseren
0225;;koppigheid;(το) πείσμα;znw.;;emoties, behoeftes
0226;;deze， die， dat;εκείνος -η -ο;vnw.;;converseren
0227;;economie;(η) οικονομία;znw.;;beroepen, maatschappij
0228;2025-04-22;familie;(η) οικογένεια - (οι) οικογένειες;znw.;;relaties, converseren
;;;(η) τάξη;;;
0229;;aldus， zodoende;λοιπόν;bijw.;;converseren
0230;;muur;(ο) τοίχος;znw.;;dingen
0231;2025-02-11, 2025-03-25;ei;(το) αυγό - (το) αβγό;znw.;;voedsel, dingen
;;;Και απέναντι είναι η Πλατεία.;;;
;;;(το) δέμα;;;
0232;2025-03-11, 2025-05-06;morgen;αύριο;bijw.;;kalender, meten
0233;;stoppen， ophouden (met);παύω;ww.;;grammatica
0234;2025-04-29;concert;(η) συναυλία - (οι) συναυλίες;znw.;;muziek, cultuur
0235;;¹verhogen， vermeerderen ²(doen) toenemen， (doen) groeien ³verbeteren;αυξάνω;ww.;;grammatica
0236;;Oostenrijk;η Αυστρία;plaatsnaam;;geografie, cultuur
0237;;streng;αυστηρός -ή -ό;bnw.;;emoties, behoeftes
0238;;Europa;(η) Ευρώπη;plaatsnaam;;geografie, cultuur
0239;;evzone (ceremoniele soldaat);(ο) εύζωνας;znw.;;relaties, converseren
0240;2025-02-25, 2025-03-11;reizen;ταξιδεύω - ταξιδεύεις, ταξιδεύει, ταξιδεύουμε, ταξιδεύετε, ταξιδεύουν;ww.;;grammatica, reizen, routines
0241;;Bedankt!， Ik dank (u)!;Ευχαριστώ!;ww.;uitdr.;converseren, uitdrukkingen
0242;;mogelijkheid， opportuniteit;(η) ευκαιρία;znw.;;filosofie, cultuur
0243;2025-02-18;direct (bnw.);ευθύς -εία -ύ;bnw.;;emoties, behoeftes
0244;;gelukkig;ευτυχώς;bijw.;;emoties, behoeftes
0245;;zaterdag;(το) Σάββατο;znw.;;kalender, meten
0246;;kerk;(η) εκκλησία;znw.;;cultuur
;;;Πού κάνει στάση το λεωφορείο;;;;
0247;2025-05-06;ander;άλλος -η -ο;bnw.;;
0248;;indirect;έμμεσος -η -ο;bnw.;;
0249;;wolk;(το) σύννεφο;znw.;;natuur
;;;Έχει ψύχρα.;;;
0250;;opa;(ο) παππούς;znw.;;relaties, converseren
0251;;ziek;άρρωστος -η -ο;bnw.;;emoties, behoeftes
0252;;zee;(η) θάλασσα;znw.;;natuur
0253;;engel;(ο) άγγελος;znw.;;filosofie, cultuur
0254;;relatief;συγγενής -ής -ές;bnw.;;relaties, converseren
0255;;diftong;(ο) δίφθογγος;znw.;;grammatica
0256;;kruidenier;(ο) μπακάλης;znw.;;voedsel, dingen
0257;;rode mul (vis);(το) μπαρμπούνι;znw.;;voedsel, dingen
0258;;beton;(το) μπετόν;znw.;;dingen
0259;;wijnstok;(το) αμπέλι;znw.;;natuur
0260;;lamp;(η) λάμπα;znw.;;dingen
0261;;koopman， handelaar;(ο) έμπορος - (οι) έμποροι;znw.;;beroepen, maatschappij
0262;;belemmeren;εμποδίζω;ww.;;emoties, behoeftes
0263;2025-05-06;(zich) (aan)kleden;ντύνομαι;ww.;;kleding, behoeftes
0264;;tomaat;(η) ντομάτα;znw.;;voedsel, dingen
0265;;oppas;(η) νταντά;znw.;;relaties, converseren
0266;;ivoor;(το) φίλντισι;znw.;;kleuren & vormen, dingen
0267;;levend;ζωντανός -ή -ό;bnw.;;natuur
0268;;altijd;πάντοτε;bijw.;;kalender, meten
0269;;vijf;πέντε;telw.;;hoeveelheden, meten
;;;έξι;;;
0270;;insect;(το) έντομο;znw.;;natuur
0271;;Mickey Mouse;(το) Μίκυ Ποντίκι;eigennaam;;cultuur
0272;;gas geven;(το) γκάζι;znw.;;reizen, routines
0273;;klif;(ο) γκρεμός;znw.;;natuur
0274;;Joegoslavië;η Γιουγκοσλαβία;plaatsnaam;;geografie, cultuur
0275;;garage;(το) γκαράζι;znw.;;reizen, routines
0276;;anker;(η) άγκυρα;znw.;;reizen, routines
0277;;behoefte， nood;(η) ανάγκη;znw.;;filosofie, cultuur
0278;;transport;(η) συγκοινωνία;znw.;;reizen, routines
0279;;verzamelen;συγκεντρώνω;ww.;;beroepen, maatschappij
0280;;sigaret;(το) τσιγάρο;znw.;;dingen
0281;;¹dus， zo ²(net) zoals;έτσι;vw. bijw.;cfr Fr. ’comme ça’;
0282;;thee;(το) τσάι;znw.;;voedsel, dingen
0283;2025-02-04, 2025-02-25;sok;(η) κάλτσα - (οι) κάλτσες;znw.;;kleding, behoeftes
0284;;cicaden;(ο) τζίτζικας;znw.;;natuur
0285;;openhaard;(το) τζάκι;znw.;;dingen
0286;;glas;(το) τζάμι;znw.;;dingen
0287;;operatie;(η) εγχείριση;znw.;;beroepen, maatschappij
0288;;binnenlands;εγχώριος -α -ο;bnw.;;geografie, cultuur
0289;;bang;φοβισμένος -η -ο;bnw.;;emoties, behoeftes
0290;;Wij zijn klaar!;Έτοιμοι είμαστε!;zin;;
0291;;Laten we dus gaan!;Πάμε λοιπόν!;uitdr.;;converseren, uitdrukkingen
0292;;Parijs;το Παρίσι;plaatsnaam;;geografie, cultuur
0293;;in Madrid;στην Μαδρίτη;plaatsnaam;;geografie, cultuur
0294;;Hij houdt niet van ouzo.;Δεν του αρέσει το ούζο.;zin;;voedsel, dingen
0295;;in Australië;στην Αυστραλία;plaatsnaam;;geografie, cultuur
0296;;Is het (misschien) … ?， Misschien … ?;Μήπως …;;zin;vraagzin, cfr. Fr. ‘Est-ce que …’;converseren, uitdrukkingen
0297;2025-02-11;paraplu;(η) ομπρέλα;znw.;;kleding, behoeftes
0298;;spiegel;(ο) καθρέφτης;znw.;;dingen
0299;2025-03-11;goedkoop;φτηνός -ή -ό;bnw.;;
0300;;Mijn naam is Theodoor;Με λένε Θόδωρε.;zin;;relaties, converseren
0301;;Hallo, Dimitris!;Γεια σου, Δημήτρη!;uitdr.;;converseren, uitdrukkingen
0302;;Hallo, Stati!;Γεια σου, Στάθη!;uitdr.;;converseren, uitdrukkingen
0303;;Hallo, Alexis!;Γεια σου, Αλέξη!;uitdr.;;converseren, uitdrukkingen
0304;;Hallo, Spyro!;Γεια σου, Σπύρο!;uitdr.;;converseren, uitdrukkingen
0305;;of;ή;vw.;;converseren
0306;;Waar ben je?;Πού είσαι;;zin;vraagzin;converseren
0307;;Ik ben thuis.;Είμαι στο σπίτι.;zin;;relaties, converseren
0308;;op school;στο σχολείο;zin;;beroepen, maatschappij
0309;;in de taverne;στην ταβέρνα;zin;;voedsel, dingen
0310;;bij de bank;στην τράπεζα;zin;;geografie, cultuur
0311;;naar de dokter;στον γιατρό;zin;;relaties, converseren
0312;;op de luchthaven;στο αεροδρόμιο;zin;;reizen, routines
0313;;in Plaka;στην Πλάκα;plaatsnaam;;geografie, cultuur
0314;;in Athene;στην Αθήνα;plaatsnaam;;geografie, cultuur
0315;;in Kolonaki;στο Κολωνάκι;plaatsnaam;;geografie, cultuur
0316;;in Bertem;στο Bertem;plaatsnaam;;geografie, cultuur
0317;;in Canada;στον Καναδά;plaatsnaam;;geografie, cultuur
0318;;op Kreta;στην Κρήτη;plaatsnaam;;geografie, cultuur
0319;;op de Akropolis;στην Ακρόπολη;plaatsnaam;;geografie, cultuur
0320;;in Brussel;στις Βρυξέλλες;plaatsnaam;;geografie, cultuur
0321;;Waar kom je vandaan?;Από πού είσαι;;zin;vraagzin;converseren
0322;;Ik kom uit België.;Είμαι απο το Βέλγιο.;zin;;geografie, cultuur
0323;;uit Griekenland;από την Ελλάδα;plaatsnaam;;geografie, cultuur
0324;;uit Frankrijk;από την Γαλλία;plaatsnaam;;geografie, cultuur
0325;;uit Duitsland;από την Γερμανία;plaatsnaam;;geografie, cultuur
