nr;datum;Nederlands;Grieks;woordsoort;nota;thema
0073;2025-12-10;markt;(η) αγορά;znw.;;winkelen, behoeftes
0074;2025-12-10;naar de markt gaan;πάω στην αγορά;zin;
0075;2025-12-10;ik zal hem niet zien;(δεν) θα τον δω;znw.;
0076;2025-12-10;rotisserie;(η) ψησταριά;znw.;
0077;2025-10-01;vroeger;παλιά;bijw.;;tijd, meten
0078;2025-10-01;doorweekt， nat;μούσκεμος -η -ο;bnw.;;kalender, meten
0079;2025-10-01;Mijn tas is doorweekt.;Η τσάντα μου είναι μούσκεμη.;zin;;kalender, meten
0080;2025-10-01;niet (imperatief);Μη … !;bijw.;;grammatica
0081;2025-10-01;alles;τα πάντα;znw.;;hoeveelheden, meten
0082;2025-10-01;gebroken;σπασμένος -η -ο;bnw.;;lichaam, behoeftes
0083;2025-10-01;vergeten;ξεχνάω;ww.;;voedsel, dingen
0084;2025-10-01;je vergeet;ξεχνάς;ww.;;converseren
0085;2025-10-01;wakker worden;ξυπνάω;ww.;;routines
0086;2025-10-01;beginnen;αρχίζω;ww.;;tijd, meten
0087;2025-10-01;klaar zijn (met werk/school);σχολάω;ww.;;school, maatschappij
0088;2025-10-01;gaan liggen;ξαπλώνω;ww.;;reizen, routines
0089;2025-10-01;ontmoeten;συναντάω;ww.;;voedsel, dingen
0090;2025-10-01;terugkeren;επιστρέφω;ww.;;routines
0091;2025-10-01;dragen;φορώ;ww.;;converseren
0092;2025-10-01;sluiten;κλείνω;ww.;;converseren
0093;2025-10-01;hopen;ελπίζω;ww.;;converseren
0094;2025-10-01;vervoegen;κλίνω;ww.;;converseren
0095;2025-10-01;Ik vrees niets, ik hoop niets, ik ben vrij.;Δεν φοβάμαι τίποτα, δεν ελπίζω τίποτα, είμαι ελεύθερος.;zin;;grammatica
0096;2025-10-01;verkopen;πουλάω;ww.;;winkelen, routines
0097;2025-10-01;¹pijn hebben ²pijn doen;πονάω;ww.;;converseren
0098;2025-10-01;zich klaarmaken;ετοιμάζομαι;ww.;;routines
0099;2025-10-01;heten (genoemd worden);λέγομαι;ww.;;voedsel, dingen
0100;2025-10-01;respecteren;σέβομαι;ww.;;converseren
0101;2025-10-01;hoe;πως;vw.;bij een zakelijke vaststelling， herhaling;converseren
0102;2025-10-01;(al)waar;που;vnw.;bij een gevoel， herhaling;converseren
0103;2025-10-01;Ik vrees dat …;Φοβάμαι πως …;zin;uitzondering!， herhaling;emoties, behoeftes
0104;2025-10-01;Ik werk thuis.;Δουλεύω από το σπίτι.;zin;;wonen, routines
0105;2025-10-01;afwassen， de vaat doen;πλένω τα πιάτα;ww.;;
0106;2025-10-01;in een huis;σε σπίτι;vz.;;wonen, routines
0107;2025-10-01;in een appartement;σε διαμέρισμα;vz.;;wonen, routines
0108;2025-10-01;(te) laat zijn;αργώ;ww.;;tijd, meten
0109;2025-10-01;mee eens zijn;συμφωνώ;ww.;;
0110;2025-10-01;dorst hebben;διψάω;ww.;;voedsel, dingen
0111;2025-10-01;honger hebben;πεινάω;ww.;;voedsel, dingen
0112;2025-10-01;passeren;περνάω;ww.;;reizen, routines
0113;2025-10-01;nemen;παίρνω;ww.;;reizen, routines
0114;2025-10-01;werkwoorden op -ομαι en -αμαι;τα ρήματα σε -ομαι και -αμαι;groep;;grammatica
0115;2025-10-01;rechtstaan;σηκώνομαι;ww.;;lichaam, behoeftes
0116;2025-10-01;Sta op!;Σήκω!;ww.;;converseren, uitdrukkingen
0117;2025-10-01;οpstaan (zich optillen);σηκώνομαι;ww.;;routines
0118;2025-10-01;opnemen， opheffen， optillen;σηκώνω (π.χ. το τηλέφωνο);ww.;;converseren
0119;2025-10-01;zich wassen;πλένομαι;ww.;;lichaam, routines, behoeftes
0120;2025-10-01;wassen;πλένω;ww.;;lichaam, routines, behoeftes
0121;2025-10-01;zich kleden;ντύνομαι (= βάζω τα ρούχα μου);ww.;;kleding, routines, behoeftes
0122;2025-10-01;kleden， aankleden;ντύνω (π.χ. τα παιδιά);ww.;;kleding, routines, behoeftes
0123;2025-10-01;zich opmaken;βάφομαι;ww.;;kleding, lichaam, routines, behoeftes
0124;2025-10-01;schilderen， verven;βάφω;ww.;;kleding, behoeftes
0125;2025-10-01;zich scheren;ξυρίζομαι;ww.;;kleding, lichaam, routines, behoeftes
0126;2025-10-01;scheren;ξυρίζω (π.χ. τα πρόβατα);ww.;;kleding, behoeftes
0127;2025-10-01;zich kammen;χτενίζομαι;ww.;;kleding, behoeftes
0128;2025-10-01;kammen;χτενίζω (π.χ. τα μαλλιά μου);ww.;;lichaam, kleding, behoeftes
0129;2025-10-01;het werk aanvatten;αρχίζω δουλειά;ww.;;grammatica
0130;2025-10-01;komen;έρχομαι;ww.;;reizen, routines
0131;2025-10-01;zitten;κάθομαι;ww.;;converseren
0132;2025-10-01;(na)denken;σκέφτομαι;ww.;;filosofie, cultuur
0133;2025-10-01;(zich) voelen;αισθάνομαι;ww.;;emoties, behoeftes
0134;2025-10-01;nodig hebben;χρειάζομαι;ww.;;emoties, behoeftes
0135;2025-10-01;moe worden， zich moe maken;κουράζομαι;ww.;;routines
0136;2025-10-01;het warm hebben;ζεσταίνομαι;ww.;;emoties, behoeftes
0137;2025-10-01;slapen;κοιμάμαι;ww.;;routines
0138;2025-10-01;Ik ga meestal vroeg naar bed.;Συνήθως κοιμάμαι νωρίς.;zin;;
0139;2025-10-01;zich herinneren;θυμάμαι;ww.;;filosofie, cultuur
0140;2025-10-01;spijt hebben， medelijden hebben;λυπάμαι;ww.;;emoties, behoeftes
0141;2025-10-01;bang zijn， vrezen， angst hebben;φοβάμαι;ww.;;emoties, behoeftes
0142;2025-10-01;heten (genoemd worden);λέγομαι;ww.;;converseren
0143;2025-10-01;werken， aan het werk zijn;εργάζομαι;;;
0144;2025-10-01;werken als assistent;εργάζομαι ως βοηθός;zin;;
0145;2025-10-01;kilo;(το) κιλό;znw.;;
0146;2025-10-01;zeggen， noemen;λέω;ww.;;converseren
0147;2025-10-01;zich bevinden;βρίσκομαι;ww.;;converseren
0148;2025-10-01;Over wie heb je het?;Ποιον λες;;vraagzin;;converseren
0149;2025-10-01;vinden;βρίσκω;ww.;;converseren
0150;2025-10-08;Het is niet zo moeilijk.;Δεν είναι τόσο δύσκολο.;zin;;grammatica
0151;2025-10-08;Wat betekent (dat)?;Τι σημαίνει;;vraagzin;;converseren
0152;2025-10-08;student zijn;σπουδάζω;ww.;;school, maatschappij
0153;2025-10-08;lezen;διαβάζω;ww.;;school, maatschappij
0154;2025-10-08;leren;μαθαίνω;ww.;;school, maatschappij
0155;2025-10-08;(in)studeren， blokken;μελετάω;ww.;;school, maatschappij
0156;2025-10-08;bal;(η) μπάλα;znw.;;sport, maatschappij
0157;2025-10-08;Ik gooi de bal;Πετάω την μπάλα;zin;;sport, maatschappij
0158;2025-10-08;volgende week;την άλλη εβδομάδα;bijw.;;tijd, kalender, meten
0159;2025-10-08;lachen;γελάω;ww.;;converseren
0160;2025-10-08;Wie lacht u/jullie uit?;Ποιόν γελάτε;;vraagzin;;converseren
0161;2025-10-08;collega;(ο/η) συνάδελφος;znw.;;beroepen, maatschappij
0162;2025-10-08;zus;(η) αδελφή;znw.;;dingen
0163;2025-10-08;advocaat;(ο/η) δικηγόρος;znw.;;beroepen, maatschappij
0164;2025-10-08;Ik ga nooit.;Δεν πηγαίνω ποτέ.;zin;;hoeveelheden, tijd, routines, meten
0165;2025-10-08;hoofd;(το) κεφάλι;znw.;;lichaam, behoeftes
0166;2025-10-08;maag;(το) στομάχι;znw.;;lichaam, behoeftes
0167;2025-10-08;hart;(η) καρδιά;znw.;;lichaam, behoeftes
0168;2025-10-08;Maar wat een mooie …;Μα τι ωραία που …;zin;;
0169;;Val me niet lastig!;Μη με πειράζεις!;uitdr.;;converseren
0170;;Stel je niet zo aan!;Μην κάνεις έτσι!;uitdr.;;converseren
0171;2025-10-08;keel;(ο) λαιμός;znw.;;lichaam, behoeftes
0172;2025-10-08;passeren;περνάω;ww.;;reizen, routines
0173;2025-10-08;plagen， lastig vallen， hinderen;πειράζω;ww.;;converseren
0174;2025-10-08;De zon hindert me.;Με πειράζει ο ήλιος;zin;;natuur
0175;2025-10-08;Nu ge het zegt…;Εδώ, που τα λέμε…;zin;;converseren, uitdrukkingen
0176;2025-10-08;Dat je ware …;Να’σουν … (< να ήσουν);zin;;converseren, uitdrukkingen
0177;2025-10-08;ongerust zijn;ανησυχώ;ww.;;emoties, behoeftes
0178;2025-10-08;Maak je niet ongerust!;Μην ανησυχείς!;ww.;;grammatica
0179;2025-10-08;doen;κάνω;ww.;;converseren
0180;2025-10-08;grappen;(τα) αστεία;znw.;;converseren
0181;2025-10-08;dokterspraktijk;(το) ιατρείο;znw.;;beroepen, maatschappij
0182;2025-10-08;heten， genoemd worden;ονομάζομαι;znw.;;
0183;2025-10-08;niet (imperatief, verbod);μην;bijw.;;grammatica
0184;2025-10-08;niet;δεν;bijw.;;grammatica
0185;2025-10-08;Vertel geen leugens!;Μη λες ψέματα ποτέ. Μη λες ποτέ ψέματα.;zin;;
0186;2025-10-08;Val me niet lastig!;Μην με πειράζει!;ww.;;grammatica
0187;2025-10-08;Het maakt niet uit.;Δεν πειράζει.;ww.;;grammatica
0188;2025-10-08;Wees niet bang!;Μην φοβάστε!;ww.;;grammatica
0189;2025-10-08;Bent u niet bang?;Δεν φοβάστε;;ww.;;grammatica
0190;2025-10-08;Praat niet samen!;Μην μιλά μαζί!;ww.;;grammatica
0191;2025-10-08;Praat niet!;Μην μιλάς!;ww.;;grammatica
0192;2025-10-08;Zeg niets!;Μην λες/πεις τίποτα!;zin;;
0193;2025-10-08;Zeg het niet!;Μην το πεις!;ww.;;grammatica
0194;2025-10-08;leugen;(το) ψέμα – (τα) ψέματα (π.χ. λέω ψέματα);znw.;;emoties, behoeftes
0195;2025-10-08;Gezondheid!;Περαστικά!;zin;lett. ‘Dat het moge voorbij gaan.’， herhaling;converseren, uitdrukkingen
0196;2025-10-08;krachtig， hard， luid;δυνατός -ή -ό;bnw.;;dingen
0197;2025-10-08;(we praten) luid;(μιλάμε) δυνατά;bijw.;;converseren
0198;2025-10-08;urenlang;με τις ώρες;bijw.;;tijd, meten
0199;2025-10-08;en nu we het erover hebben;και εδώ που τα λέμε;ww.;;converseren
0200;2025-10-08;water bij de wijn doen;βάζω στο κρασί νερό;ww.;;voedsel, dingen
0201;2025-10-08;Zolang de maand is zonder r, doe er water in (de wijn).;Όταν ο μήνας δεν έχει ρο, βάλε στο κρασί νερό.;spreekwoord;;grammatica
0202;2025-10-08;gelijk hebben;έχω δίκιο;ww.;;converseren
0203;2025-10-08;Daar gaan we…;Εδώ που τα λέμε …;uitdr.;;converseren
0204;2025-10-08;in het algemeen;γενικά;bijw.;;converseren
0205;2025-10-08;dronken;μεθυσμένος -η -ο;bnw.;;emoties, behoeftes
0206;2025-10-08;wennen;συνηθίζω;ww.;cfr συνηθώς， herhaling;converseren
0207;2025-10-08;gewoonlijk;συνηθώς;bijw.;;hoeveelheden, tijd, meten
0208;2025-10-08;zich schamen;ντρέπομαι;ww.;;converseren
0209;2025-10-08;Hoe schoon praat ge Grieks!;Μα τι ωραία που μιλάς Ελληνικά!;zin;;converseren, uitdrukkingen
0210;2025-10-08;Wat jammer dat …;Κρίμα που …;uitdr.;;grammatica
0211;2025-10-08;Het spijt me dat …;Λυπάμαι που …;uitdr.;;emoties, behoeftes
0212;2025-10-08;Jammer dat ik er niet bij was.;Κρίμα που δεν ήμουν έκει.;zin;;
0213;2025-10-08;Verschoning dat …;Συγνώμι που …;uitdr.;;converseren, uitdrukkingen
0214;2025-10-08;Ik denk dat …;Νομίζω πως/ότι …;uitdr.;;converseren, uitdrukkingen
0215;2025-10-08;bijvoorbeeld;για παράδειγμα;zin;;
0216;2025-10-08;medicijnen;(τα) φάρμακα;znw.;;dingen
0217;2025-10-08;berg;(το) βουνό;znw.;;natuur
0218;2025-10-15;altijd;πάντα;bijw.;;hoeveelheden, tijd, meten
0219;2025-10-15;gebruikelijk， gewoonlijk;συνήθως;bijw.;;hoeveelheden, tijd, meten
0220;2025-10-15;naar bed gaan;πάω για ύπνο;zin;;reizen, behoeftes
0221;2025-10-15;gymnasium;(το) γυμναστήριο;znw.;;converseren
0222;2025-10-15;soms;μερικές φορές;bijw.;;hoeveelheden, tijd, meten
0223;2025-10-15;zelden;σπάνια;bijw.;;hoeveelheden, tijd, meten
0224;2025-10-15;nooit;ποτέ;bijw.;;hoeveelheden, tijd, meten
0225;2025-10-15;vaak;συχνά， πολλές φορές;uitdr.;;hoeveelheden, tijd, meten
0226;2025-10-15;om de dag;μέρα παρά μέρα;uitdr.;;hoeveelheden, tijd, meten
0227;2025-10-15;de hele tijd;όλη την ώρα;uitdr.;;hoeveelheden, tijd, meten
0228;2025-10-15;af en toe;κάπου-κάπου;uitdr.;;hoeveelheden, tijd, meten
0229;2025-10-15;er is maan(licht)， de maan is zichtbaar;έχει φεγγάρι;zin;;
0230;2025-10-15;klooster;(το) μοναστήρι;znw.;;converseren
0231;2025-10-15;boot;(η) βάρκα;znw.;;
0232;2025-10-15;terugkomst;(η) επιστροφή;znw.;;
0233;2025-10-15;plaats;(η) θέση;znw.;;
0234;2025-10-15;sommige;μερικοί -ές -ά;bnw.;;grammatica
0235;2025-10-15;bewaken;φυλάω;ww.;;converseren
0236;2025-10-15;kus;(το) φιλί;znw.;;emoties, behoeftes
0237;2025-10-15;roepen;φωνάζω;ww.;;converseren
0238;2025-10-15;trainen;γυμνάζομαι;ww.;;sport, maatschappij
0239;2025-10-15;spugen;φτύνω;ww.;;converseren
0240;2025-10-15;ftoe-ftoe-ftoe;φτου-φτου-φτου;uitdr.;;cultuur
0241;2025-10-15;Wat zeg je?;Τι λες;;vraagzin;;converseren
0242;2025-10-15;blijven;μείνω;ww.;;converseren
0243;2025-10-15;brein， hersenen;(το) εγκέφαλο;znw.;;dingen
0244;2025-10-15;geheugen;(η) μνήμη;znw.;;grammatica
0245;2025-10-15;olie;(το) λάδι;znw.;;
0246;2025-10-15;(wal)noten;(τα) καρύδια;znw.;;dingen
0247;2025-10-15;¹been ²poot;(το) ποδάρι;znw.;;lichaam, behoeftes
0248;2025-10-15;tekst;(το) κείμενο;znw.;;dingen
0249;2025-10-15;behalve;εκτός από;vz.;;grammatica
0250;2025-10-15;vreemd;παράξενος -η -ο;bnw.;;dingen
0251;2025-10-15;de vreemde plaatsen;η παράξενη μέρη;znw.;;tijd, meten
0252;2025-10-15;boos;θυμωμένος -η -ο;bnw.;;emoties, behoeftes
0253;2025-10-15;weer， weeral， opnieuw;ξανά;bijw.;;tijd, meten
0254;2025-10-15;opnieuw;πάλι;bijw.;;tijd, meten
0255;2025-10-15;als;αν;vw.;;grammatica
0256;2025-10-15;vlug-vlug (snel);τάκα-τάκα (γρήγορα);uitdr.;;tijd, meten
0257;2025-10-15;ik had;είχα;ww.;;grammatica
0258;2025-10-15;ik begreep;κατάλαβα;vz.;;grammatica
0259;2025-10-15;Heeft u ook kaartjes voor de metro?;Μήπως έχετε (εισιτήρια) και για το μετρό;;vraagzin;;reizen, converseren, behoeftes
0260;2025-10-15;ik was;ήμουν;ww.;;grammatica
0261;2025-10-15;eten;τρώω;ww.;;voedsel, dingen
0262;2025-10-15;ik at (τρώω);έφαγα;ww.;;voedsel, dingen
0263;2025-10-15;ik heb te veel gegeten;παραέφαγα;ww.;;voedsel, dingen
0264;2025-10-15;¹kwetteren ²fluiten;κελαηδάω;ww.;;converseren
0265;2025-10-15;Ik sla m’n kruis.;Θα κάνω το Σταυρό μου.;uitdr.;;cultuur
0266;2025-10-15;Het bord fluit (piept).;Ο πίνακας κελαηδάει.;zin;;dingen
0267;2025-10-15;(kunst)schilder;(ο/η) ζωγράφος;znw.;;beroepen, maatschappij
0268;2025-10-15;haar (haren, haardos);(τα) μαλλιά;znw.;;lichaam, behoeftes
0269;2025-10-15;(een enkel) haar;(το) μαλλί;znw.;;lichaam, behoeftes
0270;2025-10-15;oog;(το) μάτι – (τα) μάτια;znw.;;lichaam, behoeftes
0271;2025-10-15;vervloeken， ‘beogen’;ματιάζω;ww.;;converseren
0272;2025-10-15;het boze oog afwenden;ξεματιάζω;ww.;;converseren
0273;2025-10-15;vermoeien;κουράζω;ww.;;converseren
0274;2025-10-15;doen uitrusten;ξεκουράζω;ww.;;converseren
0275;2025-10-15;waarschijnlijk;μάλλον που που;bijw.;;grammatica
0276;2025-10-15;hij, zij, het;αυτός -ή -ό;bnw.;;grammatica
0277;2025-10-15;deze, die, dat;εκείνος -η -ο (ο/η/το);bnw.;;converseren
0278;2025-10-15;station;(η) στάση;znw.;;
0279;2025-10-15;stadion;(το) στάδιο;znw.;;
0280;2025-10-15;alle;όλος -η -ο;bnw.;;hoeveelheden, meten
0281;2025-10-22;Dionyssos Savvopoulos is vandaag overleden.;Ο Διονύσης Σαββόπουλος πέθανε σήμερα.;zin;;cultuur
0282;2025-10-22;opstappen, instappen, instijgen;ανεβαίνω;ww.;;reizen, routines
0283;2025-10-22;uitstappen;κατεβαίνω;ww.;;reizen, routines
0284;2025-10-22;opwarming;(το) ζέσταμα;znw.;;sport, maatschappij
0285;2025-10-22;acteur;(ο/η) ηθοποιός;znw.;;beroepen, cultuur, maatschappij
0286;2025-10-22;oog;(το) μάτι;znw.;;lichaam, behoeftes
0287;2025-10-22;godslastering;(η) γκαντεμιά;znw.;;
0288;2025-10-22;film;(η) ταινία;znw.;;cultuur
0289;2025-10-22;paradijs;(ο) παράδεισος;znw.;;dingen
0290;2025-10-22;pizzeria;(η) πιτσαρία;znw.;;voedsel, dingen
0291;2025-10-22;kok;(ο) μάγειρας;znw.;;voedsel, dingen
0292;2025-10-22;koppel;(το) ζευγάρι;znw.;;relaties, converseren
0293;2025-10-22;sprookje;(το) παραμύθι;znw.;;cultuur
0294;2025-10-22;Ik doe mijn kleding aan.;Βάζω τα ρούχα μου.;znw.;;
0295;2025-10-22;(mijn) lief/liefje (♂ & ♀);(η) αγάπη (μου);znw.;;relaties, converseren
0296;2025-10-22;de liefde;η αγάπη;znw.;;relaties, converseren
0297;2025-10-22;verliefd;ερωτευμένος -η -ο;bnw.;;relaties, converseren
0298;2025-10-22;romantisch;ρομαντικός -η -ο;bnw.;;relaties, converseren
0299;2025-10-22;erotisch， liefde-;ερωτικός -ή -ό;bnw.;;relaties, converseren
0300;2025-10-22;geliefde;(ο) έρωτας;znw.;;relaties, converseren
0301;2025-10-22;vraag;(η) ερώτηση;znw.;;relaties, converseren
0302;2025-10-22;vragen;ρωτάω;ww.;;converseren
0303;2025-10-22;kijken;κοιτάζω;ww.;;converseren
0304;2025-10-22;zwemmen;κολυμπάω;ww.;;sport, maatschappij
0305;2025-10-22;zwembad;(η) πισίνα;znw.;;sport, maatschappij
0306;2025-10-22;oud;¹αρχαίος -α -ο ²παλιός -ά -ό;bnw.;;tijd, meten
0307;2025-10-22;nieuw;καινούργιος -η -ο;bnw.;;tijd, meten
0308;2025-10-22;volgens;κατά;vz.;;grammatica
0309;2025-10-22;We zien elkaar gauw!;Τα λέμε από κοντά!;uitdr.;;converseren
0310;2025-10-22;zingen;ψωνίζω;ww.;;grammatica
0311;2025-10-22;overal;παντού;bijw.;;geografie, cultuur
0312;2025-10-22;erna， daarna;έπειτα (= μετά);vz.;;tijd, meten
0313;2025-10-22;toerist;(ο) τουρίστας;znw.;;reizen, routines
0314;2025-10-22;strand;(η) παραλία;znw.;;geografie, reizen, cultuur, routines
0315;2025-10-22;de verleden tijd (aorist);ο αορίστας;znw.;;grammatica
0316;2025-10-22;stam (van een werkwoord);το θέμα;znw.;;grammatica
0317;2025-10-22;uitgang (van een werkwoord);η κατάληξη;znw.;;grammatica
0318;2025-10-22;de voor-voorlaatste (lettergreep);(η) προπαραλήγουσα (συλλαβή);znw.;;grammatica
0319;2025-10-22;ploeg， groep， team;(η) ομάδα;znw.;;grammatica
0320;2025-10-22;de regel;ο κανόνας;znw.;;grammatica
0321;2025-10-22;regelmatige (werkwoorden);τα κανονικά;groep;;grammatica
0322;2025-10-22;onregelmatige (werkwoorden);τα ανώμαλα;groep;;grammatica
0323;2025-10-22;beginnen;αρχίζω;ww.;;tijd, routines, meten
0324;2025-10-22;ik begon;άρχισα;ww.;;tijd, meten
0325;2025-10-22;kopen;αγοράζω;ww.;;winkelen, routines
0326;2025-10-22;ik kocht;αγόρασα;ww.;;winkelen, routines
0327;2025-10-22;terugkeren;γυρίζω;ww.;;reizen, routines
0328;2025-10-22;ik keerde (γυρίζω);γύρισα;ww.;;reizen, routines
0329;2025-10-22;lezen;διαβάζω;ww.;;school, maatschappij
0330;2025-10-22;ik las;διάβαζα;ww.;;school, maatschappij
0331;2025-10-22;roepen;φωνάζω;ww.;;converseren
0332;2025-10-22;ik riep;φώναξα;ww.;;converseren
0333;2025-10-22;eindigen;τελειώνω;ww.;;tijd, meten
0334;2025-10-22;ik maakte af;τελείωσα;ww.;;tijd, meten
0335;2025-10-22;betalen;πληρώνω;ww.;;winkelen, routines
0336;2025-10-22;ik betaalde;πλήρωσα;ww.;;winkelen, routines
0337;2025-10-22;aankomen， arriveren;φτάνω;ww.;;reizen, routines
0338;2025-10-22;ik arriveerde;έφτασα;ww.;;reizen, routines
0339;2025-10-22;werken;δουλεύω;ww.;;converseren
0340;2025-10-22;ik werkte;δούλεψα;ww.;;beroepen, maatschappij
0341;2025-10-22;koken;μαγειρεύω (= κάνω φαγητό);ww.;;voedsel, dingen
0342;2025-10-22;sport;σπορ;;;sport, maatschappij
0343;2025-10-22;ik kookte;μαγείρεψα;ww.;;voedsel, dingen
0344;2025-10-22;gaan;πηγαίνω， πάω;ww.;;reizen, routines
0345;2025-10-22;ik ging (πηγαίνω， πάω);πήγα;ww.;;reizen, routines
0346;2025-10-22;zien;βλέπω;ww.;;converseren
0347;2025-10-22;ik zag (βλέπω);είδα;ww.;;converseren
0348;2025-10-22;hebben;έχω;ww.;;converseren
0349;2025-10-22;ik had;είχα;ww.;;grammatica
0350;2025-10-22;nemen;παίρνω;ww.;;reizen, routines
0351;2025-10-22;wit;(λευκός ός -ή/ά -ό) -ό;bnw.;;kleuren & vormen
