υπερλήμμα	λήμμα	CEF level	Συχνότητα (Frequency)	τύπος λέξης
	απάντηση	A1	23439	ουσ.	
	δείχνω	A1	23399	ρ.	
	πάλι	A1	23364	επίρρ., ουσ.
	άποψη	A1	23352	ουσ.	
	δικαίωμα	A1	23281	ουσ.	
δικαίωμα	δικαίωμα ιδιοκτησίας 			ονοματική φράση	
	κράτος	A1	23230	ουσ.	
	δεύτερος	A1	23178	τακτ., αριθ.
	γεγονός	A1	23153	ουσ., μτχ.
	εκτός	A1	23152	επίρρ.	
εκτός	εκτός από			επιρρηματική φράση	
	αγώνας	A1	23054	ουσ.	
	τρεις	A1	22998	απόλ., αριθ.
	τιμή	A1	22969	ουσ.	
τιμή	τιμή συναλλάγματος			ονοματική φράση	
	ίδια	A1	22941	επίθ.	
	παλιός	A1	22928	επίθ.	
	μένω	A1	22890	ρ.	
	είτε	A1	22651	συμπλ. σύνδ.
	γνωστός	A1	22588	επίθ.	
	χρησιμεύω	A1	22412	ρ.
	υπηρεσία	A1	22377	ουσ.	
	σχόλιο	A1	22354	ουσ.	
	φέρω	A1	22090	ρ.	
	πληροφορία	A1	21985	ουσ.	
	πώς	A1	21940	επίρρ., ουσ.
	προσπαθώ	A1	21814	ρ.	
	νερό	A1	21719	ουσ.	
	δυνατός	A1	21645	επίθ.	
	αφορώ	A1	21573	ρ.	
	εποχή	A1	21394	ουσ.	
	δρόμος	A1	21348	ουσ.	
	λόγω	A1	21270	πρόθ., ουσ.
	τμήμα	A1	21219	ουσ.	
τμήμα	αστυνομικό τμήμα			ονοματική φράση
	συνεχίζω	A1	21129	ρ.	
	διάφορος	A1	20911	επίθ.	
	ανάγκη	A1	20843	ουσ.	
	πίσω	A1	20800	επίρρ., ουσ., ρ.
πίσω	πίσω από			επιρρηματική φράση	
	αλλάζω	A1	20756	ρ.	
	οικονομικός	A1	20683	επίθ.	
οικονομικός	οικονομική κρίση			ονοματική φράση	
	μαθαίνω	A1	20604	ρ.	
	γενικός	A1	20563	επίθ.	
	φτάνω	A1	20504	ρ.	
	έτος	A1	20452	ουσ.	
	σημαίνω	A1	20406	ρ.	
	κέντρο	A1	20357	ουσ.	
	μουσική	A1	20305	επίθ., ουσ.
	σύμφωνα	A1	20268	επίρρ., επίθ., ουσ.
σύμφωνα	σύμφωνα με			επιρρηματική φράση	
	φυσικός	A1	20241	επίθ.	
	δημόσιος	A1	20177	επίθ.	
δημόσιος	δημόσιος υπάλληλος			ονοματική φράση
	μπαίνω	A1	19949	ρ.	
	μόνος	A1	19887	επίθ.	
	επίπεδο	A1	19853	ουσ., επίθ.
	βέβαια	A1	19801	επίρρ., επίθ.
	βγαίνω	A1	19776	ρ.	
	βάση	A1	19715	ουσ.	
βάση	βάση δεδομένων			ονοματική φράση
	μορφή	A1	19686	ουσ.	
	κείμενο	A1	19653	ουσ.	
	χερσαίος	A1	19647	επίθ.	
	ναι	A1	19611	επίρρ., επιφ., ουσ.
	καιρός	A1	19594	ουσ.	
	ξεκινάω, ξεκινώ	A1	19484	ρ.	
	αγαπώ, αγαπάω	A1	19374	ρ.	
	παρουσιάζω	A1	19342	ρ.	
	συγκεκριμένος	A1	19342	επίθ.	
	ανάπτυξη	A1	19319	ουσ.	
	ευρωπαϊκός	A1	19191	επίθ.	
ευρωπαϊκός	Ευρωπαϊκή Ένωση			ονοματική φράση, κ.ό.
	λέξη	A1	19120	ουσ.	
λέξη	λέξη-κλειδί			ρ.	
	διαδικασία	A1	19067	ουσ.	
	ήδη	A1	19035	επίρρ.	
	τελευταία	A1	18957	επίθ.	
	σώμα	A1	18906	ουσ.	
	γλώσσα	A1	18670	ουσ.	
	απόφαση	A1	18627	ουσ.	
	ακριβώς	A1	18617	επίρρ.	
	βγάζω	A1	18595	ρ.	
	σχετικά	A1	18547	επίρρ., επίθ., πρόθ.
σχετικά	σχετικά με			επιρρηματική φράση	
	εικόνα	A1	18476	ουσ.	
	βασικός	A1	18396	επίθ.	
	τόπος	A1	18362	ουσ.	
τόπος	τόπος συνάντησης			ονοματική φράση	
	πρόσωπο	A1	18357	ουσ.	
	ακολουθώ	A1	18324	ρ.	
	πλέον	A1	18270	επίρρ., επίθ., ρ.
	μήνας	A1	18202	ουσ.	
	οδηγώ	A1	18186	ρ.	
	περιμένω	A1	18171	ρ.	
	βοηθώ	A1	18101	ρ.	
	τελικά	A1	18043	επίρρ., επίθ.
	κοινωνία	A1	18025	ουσ.	
	διάρκεια	A1	17994	ουσ.	
	λαμβάνω	A1	17962	ρ.	
λαμβάνω	λαμβάνω χώρα			ρηματική φράση	
	αγορά	A1	17953	ουσ.	
	περίοδος	A1	17947	ουσ.	
	λαός	A1	17935	ουσ.	
	δημοσίευση	A1	17904	ουσ.	
	δια	A1	17831	πρόθ.	
	μα	A1	17812	μόρ., σύνδ.
	παράδειγμα	A1	17792	ουσ.	
	δουλειά	A1	17676	ουσ.	
	οποιοσδήποτε	A1	17672	δεικτ. αντων.
	κρατάω, κρατώ	A1	17616	ρ.	
	αριθμός	A1	17583	ουσ.	
	απαντάω, απαντώ	A1	17577	ρ.	
	προσφέρω	A1	17552	ρ.	
	άντρας	A1	17538	ουσ.	
	μονός	A1	17407	επίθ.	
	αλήθεια	A1	17399	ουσ., επίρρ.
	κυρίως	A1	17386	επίρρ.	
	στέλνω	A1	17375	ρ.	
	όρος	A1	17311	ουσ.	
	συμβαίνω	A1	17255	ρ.	
	σκοπός	A1	17237	ουσ.	
	σελίδα	A1	17236	ουσ.	
	ψήνω	A1	17192	ρ.	
	σκέφτομαι	A1	17180	ρ.	
	κυβέρνηση	A1	17097	ουσ.	
	εκκλησία	A1	17086	ουσ.	
	δυνατότητα	A1	17052	ουσ.	
	διεθνής	A1	17040	επίθ., ουσ.
	πόλεμος	A1	16991	ουσ.	
	προσπάθεια	A1	16981	ουσ.	
	πρόεδρος	A1	16962	ουσ.	
	εταιρεία, εταιρία	A1	16908	ουσ.	
	υπό	A1	16767	πρόθ.	
υπό	υπό τη μορφή			επιρρηματική φράση	
υπό	υπό τον όρο			επιρρηματική φράση	
	περίπου	A1	16678	επίρρ.	
	λειτουργία	A1	16553	ουσ.	
	προϊόν	A1	16545	ουσ., μτχ.
	μάλλον	A1	16489	επίρρ.	
	πέφτω	A1	16430	ρ.	
	μάλιστα	A1	16428	επίρρ.	
	διότι	A1	16398	υποτ., σύνδ.
	φεύγω	A1	16342	ρ.	
	προκαλώ	A1	16328	ρ.	
	στόχος	A1	16304	ουσ.	
	επιχείρηση	A1	16256	ουσ.	
	εαυτός	A1	16218	αντων.	
	μέτρο	A1	16192	ουσ.	
	διαφορετικός	A1	16118	επίθ.	
	επόμενος	A1	16088	επίθ.	
	αιώνας	A1	16086	ουσ.	
	επιτροπή	A1	16086	ουσ.	
	επιλογή	A1	16078	ουσ.	
	πανεπιστήμιο	A1	16013	ουσ.	
	ιδέα	A1	16008	ουσ.	
	φυσικά	A1	15950	επίρρ., επίθ.
	παιχνίδι	A1	15912	ουσ.	
	τεχνικός	A1	15886	επίθ., ουσ.
	πρόκειται	A1	15757	ρ.	
	πολιτική	A1	15650	ουσ., επίθ.
	μέσω	A1	15618	επίρρ., πρόθ., επίθ., ουσ.
	επιτρέπω	A1	15610	ρ.	
	νόμος	A1	15589	ουσ.	
	αρχαίος	A1	15517	επίθ.	
	ανοίγω	A1	15466	ρ.	
	ενέργεια	A1	15459	ουσ.	
	παραπάνω	A1	15453	επίρρ.
	γνώση	A1	15403	ουσ.	
	λάθος	A1	15339	ουσ.	
	γη	A1	15265	ουσ.	
	ελεύθερος	A1	15229	επίθ.	
ελεύθερος	ελεύθερος χρόνος			ονοματική φράση
	έλεγχος	A1	15131	ουσ.	
	θυμάμαι	A1	15131	ρ.	
	ευρώ	A1	15127	ουσ.	
	απλός	A1	15125	επίθ.	
	θάνατος	A1	15053	ουσ.	
	υλικό	A1	15035	ουσ., επίθ.
	σκέψη	A1	15034	ουσ.	
	γύρω	A1	14990	επίρρ.	
γύρω	γύρω από			επιρρηματική φράση	
	τρώω, τρώγω	A1	14977	ρ.	
	σειρά	A1	14975	ουσ.	
	δημοσιεύω	A1	14968	ρ.	
	μάτι	A1	14937	ουσ.	
	ανθρωπιστικός	A1	14933	επίθ.	
	νιώθω	A1	14779	ρ.	
	έκδοση	A1	14751	ουσ.	
	τάξη	A1	14747	ουσ.	
	κοινός	A1	14657	επίθ.	
	πάντως	A1	14605	επίρρ.	
	παραγωγή	A1	14551	ουσ.	
	μπροστά	A1	14455	επίρρ.	
	κίνηση	A1	14429	ουσ.	
	υπόλοιπος	A1	14426	επίθ.	
	τραγούδι	A1	14420	ουσ.	
	εμφανίζω	A1	14376	ρ.	
	περιβάλλον	A1	14308	ουσ.	
	βαθμός	A1	14293	ουσ.	
	κοντά	A1	14288	επίρρ., επίθ.
	αναμενόμενος	A1	14241	επίθ., μτχ.
	γενικά	A1	14198	επίρρ., επίθ.
	πλαίσιο	A1	14192	ουσ.	
πλαίσιο	στα πλαίσια			επιρρηματική φράση	
	σχεδόν	A1	14187	επίρρ.	
	συνέχεια	A1	14117	ουσ.	
	έξω	A1	14069	επίρρ.	
έξω	έξω από			επιρρηματική φράση	
	έρευνα	A1	14060	ουσ.	
	τίτλος	A1	14020	ουσ.	
	πλευρά	A1	14002	ουσ.	
	ιστορικός	A1	13988	επίθ.	
	χωρίς	A1	13935	πρόθ., επίρρ.
	μελέτη	A1	13893	ουσ.	
	πατέρας	A1	13856	ουσ.	
	ευχαριστώ	A1	13853	ρ., επιφ.
	έως	A1	13837	πρόθ.	
	διαφορά	A1	13792	ουσ.	
	αλλαγή	A1	13723	ουσ.	
αλλαγή	αλλαγή του χρόνου			ονοματική φράση	
	κατηγορία	A1	13702	ουσ.	
	πολίτης	A1	13651	ουσ.	
	ψυχιατρικός	A1	13595	επίθ.	
	αρέσω	A1	13557	ρ.	
	εκπαίδευση	A1	13458	ουσ.	
	δεδομένο	A1	13386	ουσ., επίθ.
	χαραμίζω	A1	13347	ρ.	
	δέχομαι	A1	13340	ρ.	
	πράξη	A1	13290	ουσ.	
	περιβάλλων	A1	13250	επίθ.	
	σχέδιο	A1	13249	ουσ.	
σχέδιο	σχέδιο δράσης			ονοματική φράση	
	ένωση	A1	13248	ουσ.	
	ταινία	A1	13192	ουσ.	
	μάθημα	A1	13183	ουσ.	
	ρόλος	A1	13174	ουσ.	
	φως	A1	13154	ουσ.	
φως	φως της ημέρας			ονοματική φράση	
	ολόκληρος	A1	13124	επίθ., επίρρ., επίθ.
	μόλις	A1	13108	επίρρ.	
	αργά	A1	13081	επίρρ., επίθ.
	εφαρμογή	A1	13065	ουσ.	
	Ευρώπη	A1	13057	κ.ό.	
	επιστροφή	A1	13045	ουσ.	
	τομέας	A1	13032	ουσ.	
	λύση	A1	13012	ουσ.	
	σύγχρονος	A1	13011	επίθ.	
	οργάνωση	A1	13010	ουσ.	
	ξεχνάω, ξεχνώ	A1	12996	ρ.	
	αποφασίζω	A1	12981	ρ.	
	προσωπικός	A1	12944	επίθ.	
	συνθήκη	A1	12923	ουσ.	
συνθήκη	συνθήκες εργασίας			ονοματική φράση	
	καταφέρνω	A1	12885	ρ.	
	τόσος	A1	12881	αντων.	
	αξία	A1	12838	ουσ.	
	ιδιαίτερα	A1	12832	επίρρ., επίθ.
	αρκετά	A1	12823	επίρρ., επίθ., επιφ.
	συζήτηση	A1	12816	ουσ.	
	πρόταση	A1	12805	ουσ.	
	αρκετός	A1	12801	επίθ.	
	σωστός	A1	12778	επίθ.	
	αγάπη	A1	12769	ουσ.	
	αυτός	A1	12745	δεικτ. αντων.
	προηγούμενος	A1	12715	επίθ., μτχ.
	οικογένεια	A1	12700	ουσ.	
οικογένεια	οικογένεια με παιδιά			ονοματική φράση	
	επιλέγω	A1	12697	ρ.	
	δημιουργία	A1	12674	ουσ.	
	τέχνη	A1	12672	ουσ.	
	ζω	A1	12648	ρ.	
	πραγματικότητα	A1	12637	ουσ.	
	όποιος	A1	12635	αόρ. αντων.
	παγκόσμιος	A1	12617	επίθ.	
παγκόσμιος	παγκόσμια οικονομία			ονοματική φράση	
	πας	A1	12597	επίθ., ρ.
	φύση	A1	12565	ουσ.	
	μήπως	A1	12559	σύνδ., επίρρ.
	ασφάλεια	A1	12542	ουσ.	
	φτιάχνω	A1	12523	ρ.	
	συνήθως	A1	12518	επίρρ.	
	αντιμετωπίζω	A1	12512	ρ.	
	καρδιά	A1	12456	ουσ.	
	διαθέτω	A1	12419	ρ.	
	κλείνω	A1	12366	ρ.	
	πεποίθηση	A1	12366	ουσ.	
	λειτουργώ	A1	12365	ρ.	
	συμβούλιο	A1	12360	ουσ.	
	αναλαβαίνω	A1	12303	ρ.	
	δραστηριότητα	A1	12243	ουσ.	
	σημασία	A1	12238	ουσ.	
	μαύρος	A1	12224	επίθ.	
	σχολή	A1	12125	ουσ.	
	πόσο	A1	12110	επίρρ., αντων.
	δύσκολος	A1	12102	επίθ.	
	αυξάνω	A1	12101	ρ.	
	παραμένω	A1	12057	ρ.	
	πια	A1	12046	επίρρ.	
	σχετικός	A1	12039	επίθ.	
	αποδεικνύω	A1	12015	ρ.	
	απαιτώ	A1	12009	ρ.	
	συμφωνώ	A1	11942	ρ.	
	τρίτος	A1	11875	τακτ., επίθ.
	γνώμη	A1	11872	ουσ.	
	περιλαμβάνω	A1	11870	ρ.	
	δράση	A1	11835	ουσ.	
	σχολείο	A1	11812	ουσ.	
	ηλικία	A1	11808	ουσ.	
	πραγματικά	A1	11760	επίρρ., επίθ.
	πλήρης	A1	11680	επίθ.	
	δηλώνω	A1	11677	ρ.	
	κόμμα	A1	11670	ουσ.	
	θέτω	A1	11660	ρ.	
	μέθοδος	A1	11652	ουσ.	
	καταγράφω	A1	11599	ρ.	
	συμμετοχή	A1	11599	ουσ.	
	κοινότητα	A1	11588	ουσ.	
	δημοκρατία	A1	11579	ουσ.	
	γραφείο	A1	11577	ουσ.	
	εμπειρία	A1	11558	ουσ.	
	φωτογραφία	A1	11548	ουσ.	
	πρώτα	A1	11542	επίρρ., επίθ.
	χρονικός	A1	11533	επίθ.	
χρονικός	χρονική περίοδος			ονοματική φράση	
	ωράριο	A1	11493	ουσ.	
	ορισμένος	A1	11481	επίθ., μτχ.
	συχνά	A1	11473	επίρρ., επίθ.
	κεντρικός	A1	11467	επίθ.	
κεντρικός	κεντρική τράπεζα			ονοματική φράση	
κεντρικός	κεντρικό γραφείο			ονοματική φράση	
	υγεία	A1	11431	ουσ.	
	σταματάω, σταματώ	A1	11396	ρ.	
	πέρα	A1	11395	επίρρ.	
	πραγματικός	A1	11388	επίθ.	
	ουσία	A1	11383	ουσ.	
	ζήτημα	A1	11366	ουσ.	
	υποστηρίζω	A1	11353	ρ.	
	απαραίτητος	A1	11314	επίθ.	
	θεωρία	A1	11306	ουσ.	
	ρίχνω	A1	11305	ρ.	
	υπουργός	A1	11283	ουσ.	
	μαθητής	A1	11278	ουσ.	
	πιάνω	A1	11277	ρ.	
	θάλασσα	A1	11255	ουσ.	
	ευκαιρία	A1	11229	ουσ.	
	πολιτισμός	A1	11213	ουσ.	
	γραμμή	A1	11186	ουσ.	
γραμμή	γραμμή δράσης			ονοματική φράση	
	οργανισμός	A1	11172	ουσ.	
	συμβαίνει	A1	11164	ρ.	
	τοπικός	A1	11148	επίθ.	
τοπικός	τοπική κοινότητα			ονοματική φράση	
