ID	Συχνότητα (Frequency)	‰	CEF level	Λήμμα (Lemma)	Πολυλεκτικό σύνολο (MWE)	Μέρος του Λόγου (Part of speech)	Μετάφραση (Translation)	Σχόλια μεταφραστή (Translator's comments)			
49	75497	1,31421064	A1	ακόμα, ακόμη	ακόμα/ακόμη και, ακόμα/ακόμη και αν	Επίρρημα					
	0	0	C2	ακονίζω		Ρήμα					
	0	0	C2	ακούγομαι		Ρήμα					
2733	1809	0,031490086	B1	ακουμπώ, ακουμπάω		Ρήμα					
5197	742	0,012916332	C2	άκουσμα		Ουσιαστικό					
5075	769	0,013386333	C2	ακουστική		Ουσιαστικό					
5534	0	0	C2	ακουστικό		Ουσιαστικό					
3807	1163	0,02024487	B2	ακουστικός		Επίθετο					
141	31592	0,549936323	A1	ακούω		Ρήμα					
5254	669	0,014234043	C2	ακραία		Επίρρημα					
2396	2152	0,037460843	B1	ακραίος		Επίθετο					
1134	5379	0,093634701	A2	άκρη		Ουσιαστικό					
4444	940	0,02	C1	ακριβά		Επίρρημα					
	0	0	C2	ακριβαίνω		Ρήμα					
1800	3186	0,055460152	A2	ακρίβεια		Ουσιαστικό					
2730	1809	0,031490086	B1	ακριβής		Επίθετο					
1505	3962	0,068968337	A2	ακριβός		Επίθετο					
276	18617	0,324074592	A1	ακριβώς		Επίρρημα					
1765	3261	0,056765711	A2	άκρο		Ουσιαστικό					
4857	821	0,014291521	C1	ακρόαση		Ουσιαστικό					
5561	0	0	C2	ακροατήριο		Ουσιαστικό					
3928	1122	0,019531165	C1	ακροατής		Ουσιαστικό					
	0	0	C2	άκρως		Επίρρημα					
1989	2745	0,047783464	B1	ακτή		Ουσιαστικό					
	0	0	C2	ακτιβιστής		Ουσιαστικό					
2316	2252	0,039201589	B1	ακτίνα		Ουσιαστικό					
2372	2183	0,038000475	B1	ακτινοβολία		Ουσιαστικό					
	0	0	C2	ακτινοβολώ		Ρήμα					
	0	0	C2	ακτινογραφία		Ουσιαστικό					
	0	0	C2	ακτινολόγος		Ουσιαστικό					
4736	853	0,014848559	C1	άκυρος		Επίθετο					
3377	1377	0,023970066	B2	ακυρώνω		Ρήμα					
4666	877	0,015266338	C1	ακύρωση		Ουσιαστικό					
2339	2226	0,038748995	B1	αλάτι		Ουσιαστικό					
4926	804	0,013995594	C2	αλγόριθμος		Ουσιαστικό					
	0	0	C2	αλέθω		Ρήμα					
5370	596	0,014622191	C2	αλεπού		Ουσιαστικό					
3607	1254	0,021828949	B2	αλεύρι		Ουσιαστικό					
308	17399	0,302872312	A1	αλήθεια		Ουσιαστικό					
	0	0	C2	αλήθεια		Επίρρημα					
3695	1208	0,021028206	B2	αληθής		Επίθετο					
	0	0	C2	αληθινά		Επίρρημα, Επίθετο					
962	6419	0,111738455	A1	αληθινός		Επίθετο					
	0	0	C2	αλήτης		Ουσιαστικό					
5296	648	0,015897953	C2	αλιευτικός		Επίθετο					
	0	0	C2	αλίμονο		Επιφώνημα					
3825	1154	0,020088203	B2	αλκοόλ		Ουσιαστικό					
	0	0	C2	αλκοολικός		Επίθετο					
	0	0	C2	αλκοολισμός		Επίθετο					
23	175261	3,050847995	A1	αλλά		Σύνδεσμος					
415	13723	0,238882507	A1	αλλαγή	αλλαγή του χρόνου	Ουσιαστικό, Έκφραση					
	0	0	C2	αλλαγμένος		Επίθετο					
	0	0	C2	αλλάζομαι		Ρήμα					
234	20756	0,361309139	A1	αλλάζω		Ρήμα					
4582	900	0,019148936	C1	αλλεπάλληλος		Επίθετο					
5096	766	0,013334111	C2	αλλεργία		Ουσιαστικό					
5143	757	0,013177444	C2	αλλεργικός		Επίθετο					
	0	0	C2	άλλη φορά		Έκφραση					
2488	2054	0,035754913	B1	αλληλεγγύη		Ουσιαστικό					
5917	0	0	C2	αλληλέγγυος		Επίθετο					
3675	1221	0,021254503	B2	αλληλεπίδραση		Ουσιαστικό					
	0	0	C2	αλληλεπιδρώ		Ρήμα					
4483	931	0,016206341	C1	αλληλογραφία		Ουσιαστικό					
	0	0	C2	αλληλογραφώ		Ρήμα					
	0	0	C2	αλληλουχία		Ουσιαστικό					
912	6778	0,117987731	A1	αλλιώς		Επίρρημα					
2649	1891	0,032917498	B1	αλλοδαπός		Επίθετο					
5217	708	0,01506383	C2	άλλοθι		Ουσιαστικό					
4557	910	0,015840784	C1	αλλοιώνω		Ρήμα					
4636	882	0,015353375	C1	αλλοίωση		Ουσιαστικό					
	0	0	C2	αλλόκοτος		Επίθετο					
22	178914	3,114437428	A1	άλλος		Αντωνυμία					
1980	2769	0,048201243	B1	άλλοτε		Επίρρημα					
1201	5047	0,087855426	A2	αλλού		Επίρρημα					
767	7910	0,13769297	A1	άλλωστε		Επίρρημα					
4968	796	0,013856334	C2	άλμα		Ουσιαστικό					
4170	1040	0,018103753	C1	άλμπουμ		Ουσιαστικό					
	0	0	C2	αλμυρός		Επίθετο					
2096	2558	0,04452827	B1	άλογο		Ουσιαστικό					
4412	953	0,016589305	C1	αλουμίνιο		Ουσιαστικό					
2555	1986	0,034571206	B1	αλυσίδα		Ουσιαστικό					
	0	0	C2	αλφαβήτα		Ουσιαστικό					
4835	825	0,01436115	C1	αλφάβητο		Ουσιαστικό					
1213	4977	0,086636904	A2	άμα		Σύνδεσμος					
	0	0	C2	άμαξα		Ουσιαστικό					
	0	0	C2	αμαξοστοιχία		Ουσιαστικό					
	0	0	C2	αμάρτημα		Ουσιαστικό					
1389	4304	0,074921687	A2	αμαρτία		Ουσιαστικό					
3522	1293	0,022507839	B2	αμαρτωλός		Επίθετο					
	0	0	C2	αμείβω		Ρήμα					
	0	0	C2	αμερικανικός		Επίθετο					
919	6725	0,117065136	A1	αμερικάνικος		Επίθετο					
	0	0	C2	αμερικανός		Ουσιαστικό					
	0	0	C2	Αμερική		Ουσιαστικό					
1161	5258	0,091528399	A2	άμεσα		Επίρρημα					
761	7944	0,138284824	A1	άμεσος		Επίθετο					
656	9240	0,160844885	A1	αμέσως		Επίρρημα					
5641	0	0	C2	αμέσως 	αμέσως τώρα	Επίρρημα, Έκφραση					
	0	0	C2	αμετάβλητος		Επίθετο					
4333	981	0,017076713	C1	αμέτρητος		Επίθετο					
	0	0	C2	αμήχανος		Επίθετο					
	0	0	C2	αμιγής		Επίθετο					
2533	2007	0,034936762	B1	άμμος		Ουσιαστικό					
5608	0	0	C2	αμμουδιά		Ουσιαστικό					
5778	0	0	C2	αμμώδης		Επίθετο					
3784	1175	0,025	B2	αμοιβαία		Επίρρημα					
5920	0	0	C2	αμοιβαίο		Επίθετο					
3654	1231	0,021428577	B2	αμοιβαίος		Επίθετο					
	0	0	C2	αμοιβαίως		Επίρρημα					
2323	2240	0,0389927	B1	αμοιβή		Ουσιαστικό					
5499	0	0	C2	αμόρφωτος		Επίθετο					
4370	968	0,016850417	C1	αμπέλι		Ουσιαστικό					
1507	3957	0,0688813	A2	άμυνα		Ουσιαστικό					
2353	2207	0,038418253	B1	αμυντικός		Επίθετο					
3900	1131	0,019687832	B2	αμφιβάλλω		Ρήμα					
2206	2371	0,041273076	B1	αμφιβολία		Ουσιαστικό					
5572	0	0	C2	αμφίβολος		Επίθετο					
	0	0	C2	αμφιλεγόμενος		Επίθετο					
3328	1405	0,024457474	B2	αμφισβήτηση		Ουσιαστικό					
	0	0	C2	αμφισβητήσιμος		Επίθετο					
2184	2404	0,041847522	B1	αμφισβητώ		Ρήμα					
21	184316	3,208472501	A1	αν		Σύνδεσμος					
	0	0	C2	αν 	αν και	Σύνδεσμος					
860	7121	0,123958488	A1	ανά		Πρόθεση					
4027	1087	0,018921904	C1	αναβαθμίζω		Ρήμα					
2512	2026	0,035267504	B1	αναβάθμιση		Ουσιαστικό					
	0	0	C2	αναβάλλω		Ρήμα					
	0	0	C2	αναβίωση		Ουσιαστικό					
5886	0	0	C2	αναβλύζω		Ρήμα					
	0	0	C2	αναβοσβήνω		Ρήμα					
1681	3438	0,059846831	A2	ανάβω		Ρήμα					
	0	0	C2	αναγγέλλω		Ρήμα					
3145	1513	0,02633748	B2	αναγέννηση		Ουσιαστικό					
	0	0	C2	αναγκάζομαι		Ρήμα					
1158	5272	0,091772103	A2	αναγκάζω		Ρήμα					
2078	2595	0,055212766	B1	αναγκαία		Επίρρημα					
1287	4664	0,081188371	A2	αναγκαίος		Επίθετο					
3788	1173	0,020418945	B2	αναγκαιότητα		Ουσιαστικό					
3692	1210	0,021063021	B2	αναγκαστικά		Επίρρημα					
232	20843	0,362823587	A1	ανάγκη		Ουσιαστικό					
4719	859	0,014953004	C1	ανάγλυφος		Επίθετο					
701	8596	0,149634484	A1	αναγνωρίζω		Ρήμα					
1473	4029	0,070134637	A2	αναγνώριση		Ουσιαστικό					
2099	2544	0,044284566	B1	ανάγνωση		Ουσιαστικό					
	0	0	C2	ανάγνωσμα		Ουσιαστικό					
1356	4398	0,076557988	A2	αναγνώστης		Ουσιαστικό					
1703	3383	0,058889421	A2	αναδεικνύω		Ρήμα					
3343	1397	0,024318215	B2	ανάδειξη		Ουσιαστικό					
	0	0	C2	αναδεύω		Ρήμα					
	0	0	C2	αναδημιουργώ		Ρήμα					
3775	1178	0,02506383	B2	αναδιάρθρωση		Ουσιαστικό					
3098	1542	0,032808511	B2	ανάδοχος		Επίθετο					
5982	0	0	C2	αναδύομαι		Ρήμα					
842	7245	0,126117012	A1	αναζήτηση		Ουσιαστικό					
1188	5133	0,089352467	A2	αναζητώ		Ρήμα					
5951	0	0	C2	αναθεματισμένος		Ουσιαστικό					
2846	1719	0,029923415	B1	αναθέτω		Ρήμα					
2806	1745	0,030376009	B1	αναθεώρηση		Ουσιαστικό					
	0	0	C2	αναθεωρητής		Ουσιαστικό					
4558	909	0,015823377	C1	αναθεωρώ		Ρήμα					
	0	0	C2	αναισθησιολόγος		Ουσιαστικό					
5338	625	0,015333674	C2	ανακαινίζω		Ρήμα					
	0	0	C2	ανακαίνιση		Ουσιαστικό					
810	7494	0,130451469	A1	ανακαλύπτω		Ρήμα					
3190	1479	0,025745626	B2	ανακάλυψη		Ουσιαστικό					
5973	0	0	C2	ανακαλώ		Ρήμα					
4714	860	0,018297872	C1	ανάκαμψη		Ουσιαστικό					
	0	0	C2	ανακατεύομαι		Ρήμα					
2452	2098	0,036520841	B1	ανακατεύω		Ρήμα					
	0	0	C2	ανακεφαλαιώνω		Ρήμα					
5442	516	0,012659481	C2	ανακηρύσσω		Ρήμα					
	0	0	C2	ανακινώ		Ρήμα					
1408	4242	0,073842425	A2	ανακοινώνω		Ρήμα					
1067	5711	0,099413976	A2	ανακοίνωση		Ουσιαστικό					
	0	0	C2	ανακουφίζω		Ρήμα					
4748	850	0,014796337	C1	ανακούφιση		Ουσιαστικό					
	0	0	C2	ανακρίνω		Ρήμα					
5235	690	0,014680851	C2	ανάκριση		Ουσιαστικό					
4916	806	0,017148936	C1	ανακριτής		Ουσιαστικό					
	0	0	C2	ανάκτηση		Ουσιαστικό					
	0	0	C2	ανακτώ		Ρήμα					
4745	852	0,014831152	C1	ανακύκλωση		Ουσιαστικό					
481	12303	0,261765957	A1	αναλαβαίνω		Ρήμα					
721	8378	0,145839659	A1	αναλαμβάνω		Ρήμα					
	0	0	C2	αναλαμπή		Ουσιαστικό					
	0	0	C2	ανάλατος		Επίθετο					
	0	0	C2	αναληθής		Επίθετο					
3580	1267	0,022055246	B2	ανάληψη		Ουσιαστικό					
770	7904	0,137588525	A1	ανάλογα	ανάλογα με	Επίρρημα, Έκφραση					
2685	1860	0,032377867	B1	αναλογία		Ουσιαστικό					
	0	0	C2	αναλογικός		Επίθετο					
1157	5274	0,091806918	A2	ανάλογος		Επίθετο					
5199	741	0,015765957	C2	αναλογώ		Ρήμα					
669	9037	0,157311172	A1	ανάλυση		Ουσιαστικό					
4668	877	0,015266338	C1	αναλυτής		Ουσιαστικό					
3182	1484	0,025832663	B2	αναλυτικά		Επίρρημα					
2477	2062	0,035894172	B1	αναλυτικός		Επίθετο					
1901	2928	0,050969029	A2	αναλύω		Ρήμα					
	0	0	C2	αναμειγνύω		Ρήμα					
3225	1458	0,02538007	B2	ανάμεικτος		Επίθετο					
1479	4015	0,069890932	A2	ανάμειξη		Ουσιαστικό					
398	14241	0,247899569	A1	αναμενόμενος		Επίθετο					
	0	0	C2	αναμένω		Ρήμα					
4847	824	0,014343743	C1	ανάμεσα		Επίρρημα					
5310	639	0,013595745	C2	ανάμεσα	ανάμεσα σε	Πρόθεση					
	0	0	C2	αναμέτρηση		Ουσιαστικό					
	0	0	C2	αναμετρώ		Ρήμα					
2257	2327	0,040507148	B1	ανάμνηση		Ουσιαστικό					
3672	1222	0,02127191	B2	αναμονή		Ουσιαστικό					
5114	764	0,016255319	C2	αναμόρφωση		Ουσιαστικό					
5263	664	0,01412766	C2	αναμφίβολα		Επίρρημα					
5278	655	0,01393617	C2	αναμφίβολος		Επίθετο					
5240	690	0,014680851	C2	αναμφισβήτητα		Επίρρημα					
3992	1098	0,023361702	C1	αναμφισβήτητος		Επίθετο					
	0	0	C2	ανανεωμένος		Επίθετο					
2941	1645	0,028635264	B2	ανανεώνω		Ρήμα					
2759	1783	0,031037493	B1	ανανέωση		Ουσιαστικό					
	0	0	C2	ανανεώσιμος		Επίθετο					
	0	0	C2	αναξιόπιστος		Επίθετο					
	0	0	C2	αναπάντεχος		Επίθετο					
3501	1309	0,022786359	B2	αναπαράγω		Ρήμα					
2502	2041	0,035528616	B1	αναπαραγωγή		Ουσιαστικό					
3781	1176	0,020471167	B2	αναπαράσταση		Ουσιαστικό					
	0	0	C2	αναπαύομαι		Ρήμα					
	0	0	C2	ανάπαυση		Ουσιαστικό					
	0	0	C2	αναπαυτικός		Επίθετο					
	0	0	C2	αναπηδώ		Ρήμα					
2619	1928	0,033561574	B1	αναπηρία		Ουσιαστικό					
	0	0	C2	αναπηρικός 	αναπηρικό καροτσάκι	Επίθετο					
4791	838	0,014587447	C1	ανάπηρος		Επίθετο					
5901	0	0	C2	αναπληρωματικός		Επίθετο					
5646	0	0	C2	αναπληρώνω		Ρήμα					
4208	1025	0,017842642	C1	αναπληρωτής		Ουσιαστικό					
4275	1004	0,017477085	C1	αναπνευστικός		Επίθετο					
4346	979	0,017041899	C1	αναπνέω		Ρήμα					
2832	1726	0,030045268	B1	αναπνοή		Ουσιαστικό					
4826	827	0,014395965	C1	ανάποδα		Επίρρημα					
5558	0	0	C2	αναποδιά		Ουσιαστικό					
5716	0	0	C2	αναποδογυρίζω		Ρήμα					
	0	0	C2	αναπολώ		Ρήμα					
	0	0	C2	αναποτελεσματικός		Επίθετο					
5793	0	0	C2	αναπόφευκτα		Επίρρημα					
4379	963	0,016763379	C1	αναπόφευκτος		Επίθετο					
	0	0	C2	αναπτήρας		Ουσιαστικό					
	0	0	C2	ανάπτυγμα		Ουσιαστικό					
267	19319	0,336294626	A1	ανάπτυξη		Ουσιαστικό					
2926	1652	0,028757116	B2	αναπτυξιακός		Επίθετο					
	0	0	C2	αναπτύσσομαι		Ρήμα					
4856	821	0,014291521	C1	αναπτυσσόμενος,-η,-ο	αναπτυσσόμενη χώρα	Επίθετο, Έκφραση					
595	10236	0,178182711	A1	αναπτύσσω		Ρήμα					
	0	0	C2	αναρίθμητος		Επίθετο					
	0	0	C2	αναρριχώμαι		Ρήμα					
2447	2100	0,036555656	B1	αναρτώ		Ρήμα					
2625	1919	0,033404906	B1	αναρχικός		Επίθετο					
1589	3698	0,064372769	A2	αναρωτιέμαι		Ρήμα					
2871	1700	0,029592674	B1	ανάσα		Ουσιαστικό					
	0	0	C2	ανασηκώνω		Ρήμα					
	0	0	C2	ανασκαλεύω		Ρήμα					
4570	905	0,015753747	C1	ανασκαφή		Ουσιαστικό					
	0	0	C2	αναστατωμένος		Μετοχή					
5440	516	0,010978723	C2	αναστατώνω		Ρήμα					
	0	0	C2	αναστάτωση		Ουσιαστικό					
6002	0	0	C2	αναστεναγμός		Ουσιαστικό					
	0	0	C2	αναστενάζω		Ρήμα					
4238	1018	0,017720789	C1	αναστολή		Ουσιαστικό					
4405	956	0,016641527	C1	ανασφάλεια		Ουσιαστικό					
5046	778	0,016553191	C2	ανασχηματισμός		Ουσιαστικό					
5063	773	0,016446809	C2	αναταραχή		Ουσιαστικό					
	0	0	C2	ανατέλλω		Ρήμα					
1432	4135	0,071979827	A2	ανατολή		Ουσιαστικό					
	0	0	C2	ανατολικά		Επίρρημα					
1091	5564	0,09685508	A2	ανατολικός	ανατολική πλευρά	Επίθετο					
	0	0	C2	ανατολίτικος		Επίθετο					
3024	1590	0,027677854	B2	ανατρέπω		Ρήμα					
3020	1594	0,027747483	B2	ανατροπή		Ουσιαστικό					
	0	0	C2	ανατροφή		Ουσιαστικό					
	0	0	C2	αναφέρομαι		Ρήμα					
3346	1397	0,024318215	B2	αναφερόμενος		Επίθετο					
117	35724	0,621863927	A1	αναφέρω		Ρήμα					
610	9884	0,172055287	A1	αναφορά		Ουσιαστικό					
3699	1207	0,021010798	B2	αναφορικά		Επίρρημα					
5769	0	0	C2	αναφωνώ		Ρήμα					
